ID,Name,Host Id,Host Id Verified,Host Name,Neighbourhood Group,Neighbourhood,Latitude,Longitude,Country,Instant Bookable,Cancellation Policy,Room Type,Number of Reviews,Reviews(per month),Average Ratings,Price in Dollars,Service Fee in Dollars,Minimum Nights,Availability 365,Construction Year,Property Age,Estimated Annual Revenue in Dollars,Occupancy Rate
1001254,Clean & Quiet Apt Home By The Park,80014485718,FALSE,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,FALSE,Strict,Private room,9,0.21,4,966,193,10,286,2020,New Property,2434.32,78.36%
1002102,Skylit Midtown Castle,52335172823,TRUE,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,FALSE,Moderate,Entire home/apt,45,0.38,4,142,28,30,228,2007,Old Property,647.52,62.47%
1002403,The Village Of Harlem....New York !,78829239556,FALSE,Elise,Manhattan,Harlem,40.80902,-73.94190,United States,TRUE,Flexible,Private room,0,0,5,620,124,3,352,2005,Old Property,0,96.44%
1002755,Unknown,85098326012,FALSE,Garry,Brooklyn,Clinton Hill,40.68514,-73.95976,United States,TRUE,Moderate,Entire home/apt,270,4.64,4,368,74,30,322,2005,Old Property,20490.24,88.22%
1003689,Entire Apt: Spacious Studio/Loft By Central Park,92037596077,TRUE,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,FALSE,Moderate,Entire home/apt,9,0.1,3,204,41,10,289,2009,Old Property,244.8,79.18%
1004098,Large Cozy 1 Br Apartment In Midtown East,45498551794,TRUE,Michelle,Manhattan,Murray Hill,40.74767,-73.97500,United States,TRUE,Flexible,Entire home/apt,74,0.59,3,577,115,3,365,2013,Mid Age,4085.16,100.00%
1004650,Blissartsspace!,61300605564,FALSE,Alberta,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,FALSE,Moderate,Private room,49,0.4,5,71,14,45,224,2015,Mid Age,340.8,61.37%
1005202,Blissartsspace!,90821839709,FALSE,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,FALSE,Moderate,Private room,49,0.4,5,"1,060",212,45,219,2009,Old Property,5088,60.00%
1005754,Large Furnished Room Near B'Way,79384379533,TRUE,Evelyn,Manhattan,Hell'S Kitchen,40.76489,-73.98493,United States,TRUE,Strict,Private room,430,3.47,3,"1,018",204,2,180,2005,Old Property,42389.52,49.32%
1006307,Cozy Clean Guest Room - Family Apt,75527839483,FALSE,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,FALSE,Strict,Private room,118,0.99,5,291,58,2,365,2015,Mid Age,3457.08,100.00%
1006859,Cute & Cozy Lower East Side 1 Bdrm,1280143094,TRUE,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,FALSE,Flexible,Entire home/apt,160,1.33,3,319,64,1,1,2004,Old Property,5091.24,0.27%
1007411,Beautiful 1Br On Upper West Side,18824631834,TRUE,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,TRUE,Flexible,Entire home/apt,53,0.43,4,606,121,5,163,2008,Old Property,3126.96,44.66%
1007964,Central Manhattan/Near Broadway,88136055909,TRUE,Unknown,Manhattan,Hell'S Kitchen,40.76076,-73.98867,United States,FALSE,Strict,Private room,188,1.5,4,714,143,2,258,2008,Old Property,12852,70.68%
1008516,"Lovely Room 1, Garden, Best Area, Legal Rental",26802410424,TRUE,Darcy,Brooklyn,South Slope,40.66829,-73.98779,United States,TRUE,Moderate,Private room,167,1.34,4,580,116,4,47,2010,Old Property,9326.4,12.88%
1009068,Wonderful Guest Bedroom In Manhattan For Singles,88920244552,TRUE,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,FALSE,Flexible,Private room,113,0.91,3,149,30,2,68,2019,Mid Age,1627.08,18.63%
1009621,West Village Nest - Superhost,46551725984,TRUE,Daniel,Manhattan,West Village,40.73530,-74.00525,United States,TRUE,Flexible,Entire home/apt,27,0.22,3,578,124,90,100,2018,Mid Age,1525.92,27.40%
1010173,Only 2 Stops To Manhattan Studio,62566345680,FALSE,Heather,Brooklyn,Williamsburg,40.70837,-73.95352,United States,FALSE,Moderate,Entire home/apt,148,1.2,3,778,124,2,197,2009,Old Property,11203.2,53.97%
1010725,Perfect For Your Parents + Garden,80380130347,TRUE,Ryan,Brooklyn,Fort Greene,40.69169,-73.97185,United States,FALSE,Flexible,Entire home/apt,198,1.72,5,656,124,2,96,2006,Old Property,13539.84,26.30%
1011277,Chelsea Perfect,73862528370,TRUE,Alberta,Manhattan,Chelsea,40.74192,-73.99501,United States,FALSE,Moderate,Private room,260,2.12,3,460,124,1,325,2008,Old Property,11702.4,89.04%
1011830,Hip Historic Brownstone Apartment With Backyard,72145018858,FALSE,Martin,Brooklyn,Crown Heights,40.67592,-73.94694,United States,FALSE,Moderate,Entire home/apt,53,4.44,5,"1,095",124,3,345,2004,Old Property,58341.6,94.52%
1012382,Huge 2 Br Upper East  Cental Park,79805143117,TRUE,Audrey,Manhattan,East Harlem,40.79685,-73.94872,United States,FALSE,Moderate,Entire home/apt,0,0,3,281,56,7,347,2013,Mid Age,0,95.07%
1012934,Sweet And Spacious Brooklyn Loft,86554611512,TRUE,Alissa,Brooklyn,Williamsburg,40.71842,-73.95718,United States,FALSE,Flexible,Entire home/apt,9,0.07,3,477,95,3,193,2016,Mid Age,400.68,52.88%
1013487,Cbg Ctybgd Helpshaiti Rm#1:1-4,53754237010,TRUE,Mary,Brooklyn,Park Slope,40.68069,-73.97706,United States,FALSE,Moderate,Private room,130,1.09,4,133,27,2,54,2013,Mid Age,1739.64,14.79%
1014039,Cbg Helps Haiti Room#2.5,87668933180,FALSE,William,Brooklyn,Park Slope,40.67989,-73.97798,United States,FALSE,Moderate,Private room,39,0.37,3,"1,050",210,1,9,2017,Mid Age,4662,2.47%
1014591,Cbg Helps Haiti Rm #2,57827496420,FALSE,Charlotte,Brooklyn,Park Slope,40.68001,-73.97865,United States,FALSE,Strict,Private room,71,0.61,4,816,163,2,344,2005,Old Property,5973.12,94.25%
1015144,"Maison Des Sirenes1,Bohemian Apartment",48387947293,FALSE,Miranda,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,United States,FALSE,Strict,Entire home/apt,88,0.73,4,"1,175",235,2,365,2006,Old Property,10293,100.00%
1015696,Sunny Bedroom Across Prospect Park,81686279636,FALSE,Carlos,Brooklyn,Windsor Terrace,40.65599,-73.97519,United States,FALSE,Moderate,Private room,19,1.37,5,530,106,1,344,2021,New Property,8713.2,94.25%
